"data";"quant_casos";"quant_obitos";"dia_semana"
"2022-05-17";3201;8;3
"2022-05-18";3604;3;4
"2022-05-19";4459;8;5
"2022-05-20";5304;10;6
"2022-05-21";2090;11;7
"2022-05-22";1626;7;1
"2022-05-23";6520;13;2
"2022-05-24";5643;16;3
"2022-05-25";6726;19;4
"2022-05-26";5747;20;5
"2022-05-27";5673;15;6
"2022-05-28";2286;13;7
"2022-05-29";1587;13;1
"2022-05-30";6483;12;2
"2022-05-31";4397;16;3
"2022-06-01";4313;15;4
"2022-06-02";4093;15;5
"2022-06-03";4246;12;6
"2022-06-04";1710;10;7
"2022-06-05";1332;23;1
"2022-06-06";5948;15;2
"2022-06-07";4601;19;3
"2022-06-08";4757;17;4
"2022-06-09";4592;17;5
"2022-06-10";4232;14;6
"2022-06-11";1248;20;7
"2022-06-12";1037;19;1
"2022-06-13";4599;14;2
"2022-06-14";3860;20;3
"2022-06-15";4041;19;4
"2022-06-16";1582;15;5
"2022-06-17";3430;17;6
"2022-06-18";1412;22;7
"2022-06-19";1095;15;1
"2022-06-20";5010;21;2
"2022-06-21";3506;14;3
"2022-06-22";3838;16;4
"2022-06-23";3682;16;5
"2022-06-24";3502;9;6
"2022-06-25";1319;13;7
"2022-06-26";1017;13;1
"2022-06-27";4509;16;2
"2022-06-28";3514;14;3
"2022-06-29";3331;19;4
"2022-06-30";3612;13;5
"2022-07-01";3470;20;6
"2022-07-02";1378;16;7
"2022-07-03";996;21;1
"2022-07-04";4858;15;2
"2022-07-05";3827;14;3
"2022-07-06";4049;18;4
"2022-07-07";3771;16;5
"2022-07-08";3470;15;6
"2022-07-09";1370;12;7
"2022-07-10";1107;7;1
"2022-07-11";5134;11;2
"2022-07-12";3517;17;3
"2022-07-13";3637;13;4
"2022-07-14";3291;10;5
"2022-07-15";3389;7;6
"2022-07-16";1268;6;7
"2022-07-17";934;14;1
"2022-07-18";4193;19;2
"2022-07-19";3188;14;3
"2022-07-20";3415;16;4
"2022-07-21";3353;16;5
"2022-07-22";3570;7;6
"2022-07-23";1302;14;7
"2022-07-24";988;10;1
"2022-07-25";4035;13;2
"2022-07-26";3234;17;3
"2022-07-27";3279;15;4
"2022-07-28";2834;11;5
"2022-07-29";2620;21;6
"2022-07-30";969;8;7
"2022-07-31";756;11;1
"2022-08-01";3273;20;2
"2022-08-02";2744;7;3
"2022-08-03";2939;14;4
"2022-08-04";2490;10;5
"2022-08-05";2542;20;6
"2022-08-06";806;23;7
"2022-08-07";550;10;1
"2022-08-08";3009;15;2
"2022-08-09";2038;11;3
"2022-08-10";2203;9;4
"2022-08-11";2042;10;5
"2022-08-12";2197;16;6
"2022-08-13";813;5;7
"2022-08-14";529;21;1
"2022-08-15";2760;12;2
"2022-08-16";2090;15;3
"2022-08-17";2240;12;4
"2022-08-18";1922;3;5
"2022-08-19";1685;10;6
"2022-08-20";561;11;7
"2022-08-21";374;8;1
"2022-08-22";2125;11;2
"2022-08-23";1710;11;3
"2022-08-24";1754;12;4
"2022-08-25";1630;6;5
"2022-08-26";1604;7;6
"2022-08-27";453;17;7
"2022-08-28";285;9;1
"2022-08-29";1417;9;2
"2022-08-30";996;3;3
"2022-08-31";1016;8;4
"2022-09-01";1049;5;5
"2022-09-02";895;6;6
"2022-09-03";246;8;7
"2022-09-04";174;8;1
"2022-09-05";928;9;2
"2022-09-06";702;7;3
"2022-09-07";202;8;4
"2022-09-08";734;9;5
"2022-09-09";600;4;6
"2022-09-10";153;11;7
"2022-09-11";100;6;1
"2022-09-12";662;2;2
"2022-09-13";480;6;3
"2022-09-14";442;7;4
"2022-09-15";446;4;5
"2022-09-16";406;7;6
"2022-09-17";122;7;7
"2022-09-18";77;5;1
"2022-09-19";272;5;2
"2022-09-20";98;7;3
"2022-09-21";412;2;4
"2022-09-22";319;8;5
"2022-09-23";297;6;6
"2022-09-24";106;6;7
"2022-09-25";69;4;1
"2022-09-26";348;8;2
"2022-09-27";249;3;3
"2022-09-28";240;1;4
"2022-09-29";206;3;5
"2022-09-30";164;7;6
